"name","amount","party"
"民主進步黨","69","何欣純 余宛如 劉世芳 劉建國 劉櫂豪 吳思瑤 吳焜裕 吳玉琴 吳琪銘 吳秉叡 呂孫綾 周春米 姚文智 尤美女 張宏陸 張廖萬堅 徐國勇 李俊俋 李應元 李昆澤 林俊憲 林岱樺 林淑芬 林靜儀 柯建銘 楊曜 段宜康 江永昌 洪宗熠 王定宇 王榮璋 管碧玲 羅致政 莊瑞雄 葉宜津 蔡其昌 蔡培慧 蔡易餘 蔡適應 蕭美琴 蘇嘉全 蘇巧慧 蘇治芬 蘇震清 許智傑 谷辣斯．尤達卡Kolas．Yotaka 賴瑞隆 趙天麟 趙正宇 邱志偉 邱議瑩 鄭寶清 鄭運鵬 鄭麗君 鍾佳濱 鍾孔炤 陳亭妃 陳其邁 陳明文 陳曼麗 陳歐珀 陳瑩 陳素月 陳賴素美 顧立雄 高志鵬 黃偉哲 黃國書 黃秀芳"
"中國國民黨","35","吳志揚 呂玉玲 孔文吉 廖國棟Sufin．Siluko 張麗善 徐志榮 徐榛蔚 曾銘宗 李彥秀 林德福 林為洲 林麗蟬 柯志恩 楊鎮浯 江啟臣 王惠美 王育敏 王金平 盧秀燕 簡東明Uliw．Qaljupayare 羅明才 蔣乃辛 蔣萬安 許毓仁 許淑華 費鴻泰 賴士葆 鄭天財Sra．Kacaw 陳學聖 陳宜民 陳超明 陳雪生 顏寬恒 馬文君 黃昭順"
"時代力量","5","徐永明 林昶佐 洪慈庸 高潞．以用．巴魕剌Kawlo．Iyun．Pacidal 黃國昌"
"親民黨","4","周陳秀霞 李鴻鈞 陳怡潔 高金素梅"
"無黨團結聯盟","1","高金素梅"
"無黨籍","1","趙正宇"
